Date,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Net_Sentiment,Sentiment_EMA_3d,Sentiment_EMA_7d
2010-04-07,0.0330548249185085,0.053808718919754,0.9131364226341248,-0.0207538940012455,-0.0207538940012455,-0.0207538940012455
2010-04-08,0.0,0.0,1.0,0.0,-0.01037694700062275,-0.015565420500934124
2010-04-09,0.0,0.0,1.0,0.0,-0.005188473500311375,-0.011674065375700593
2010-04-10,0.0,0.0,1.0,0.0,-0.0025942367501556873,-0.008755549031775445
2010-04-11,0.0,0.0,1.0,0.0,-0.0012971183750778437,-0.0065666617738315836
2010-04-12,0.0,0.0,1.0,0.0,-0.0006485591875389218,-0.004924996330373688
2010-04-13,0.0,0.0,1.0,0.0,-0.0003242795937694609,-0.0036937472477802658
2010-04-14,0.0,0.0,1.0,0.0,-0.00016213979688473046,-0.0027703104358351993
2010-04-15,0.0,0.0,1.0,0.0,-8.106989844236523e-05,-0.0020777328268763995
2010-04-16,0.0,0.0,1.0,0.0,-4.0534949221182615e-05,-0.0015582996201572996
2010-04-17,0.0,0.0,1.0,0.0,-2.0267474610591307e-05,-0.0011687247151179747
2010-04-18,0.0,0.0,1.0,0.0,-1.0133737305295654e-05,-0.000876543536338481
2010-04-19,0.0,0.0,1.0,0.0,-5.066868652647827e-06,-0.0006574076522538608
2010-04-20,0.0,0.0,1.0,0.0,-2.5334343263239134e-06,-0.0004930557391903956
2010-04-21,0.0,0.0,1.0,0.0,-1.2667171631619567e-06,-0.0003697918043927967
2010-04-22,0.0,0.0,1.0,0.0,-6.333585815809784e-07,-0.0002773438532945975
2010-04-23,0.0,0.0,1.0,0.0,-3.166792907904892e-07,-0.00020800788997094814
2010-04-24,0.0,0.0,1.0,0.0,-1.583396453952446e-07,-0.0001560059174782111
2010-04-25,0.0,0.0,1.0,0.0,-7.91698226976223e-08,-0.00011700443810865833
2010-04-26,0.0156826954334974,0.9427087306976318,0.041608590632677,-0.9270260352641344,-0.46351305721697855,-0.2318442621446151
2010-04-27,0.0,0.0,1.0,0.0,-0.23175652860848928,-0.17388319660846133
2010-04-28,0.0,0.0,1.0,0.0,-0.11587826430424464,-0.130412397456346
2010-04-29,0.0,0.0,1.0,0.0,-0.05793913215212232,-0.0978092980922595
2010-04-30,0.0,0.0,1.0,0.0,-0.02896956607606116,-0.07335697356919463
2010-05-01,0.0,0.0,1.0,0.0,-0.01448478303803058,-0.05501773017689597
2010-05-02,0.0,0.0,1.0,0.0,-0.00724239151901529,-0.041263297632671975
2010-05-03,0.0,0.0,1.0,0.0,-0.003621195759507645,-0.03094747322450398
2010-05-04,0.0,0.0,1.0,0.0,-0.0018105978797538225,-0.023210604918377988
2010-05-05,0.0,0.0,1.0,0.0,-0.0009052989398769112,-0.017407953688783492
2010-05-06,0.0,0.0,1.0,0.0,-0.0004526494699384556,-0.01305596526658762
2010-05-07,0.0,0.0,1.0,0.0,-0.0002263247349692278,-0.009791973949940715
2010-05-08,0.0,0.0,1.0,0.0,-0.0001131623674846139,-0.0073439804624555365
2010-05-09,0.0,0.0,1.0,0.0,-5.658118374230695e-05,-0.005507985346841653
2010-05-10,0.0,0.0,1.0,0.0,-2.8290591871153476e-05,-0.0041309890101312394
2010-05-11,0.0,0.0,1.0,0.0,-1.4145295935576738e-05,-0.0030982417575984296
2010-05-12,0.0,0.0,1.0,0.0,-7.072647967788369e-06,-0.002323681318198822
2010-05-13,0.0,0.0,1.0,0.0,-3.5363239838941845e-06,-0.0017427609886491164
2010-05-14,0.0,0.0,1.0,0.0,-1.7681619919470923e-06,-0.0013070707414868372
2010-05-15,0.0,0.0,1.0,0.0,-8.840809959735461e-07,-0.0009803030561151278
2010-05-16,0.0,0.0,1.0,0.0,-4.4204049798677306e-07,-0.0007352272920863459
