Date,Text
2010-02-07,Is it time to boycott Latin American bananas?. The removal of tariffs on Latin American bananas is bad news for small-scale plantation workers
2010-02-17,"Tajikistan facing water shortages and climate extremes, report warns. Falling supplies due to rising temperatures and retreating glaciers could spark conflict between water-stressed countries in the region, says Oxfam"
2010-05-13,Scientists call for GM review after surge in pests around cotton farms in China. Farmland struck by infestations of bugs following widespread adoption of Bt cotton made by biotech giant Monsanto• Q&amp;A: GM crops• GM and farming technology 'key to fighting climate change'
2010-06-17,"Kenya paves way for GM crops after decade of controversy. After years of debate, Kenya will implement legislation this month green lighting genetically modified organisms"
2010-08-27,"Should I buy the cheapest school uniform?. Budget-conscious parents might be tempted by cut-price school uniforms, but should they have ethical concerns about how they were sourced and who produced them?"
2010-09-14,Clothing prices rise. Cotton prices and travel costs keep UK inflation stubbornly high at above 3%
2010-09-14,UK inflation stays stubbornly high. • Jump in clothing and food prices keep inflation above 3%• Air fares up 16%• Debenhams executive warns clothing prices to rise further
2010-09-15,Next boss outlines 'new normal' for high street growth. Lord Wolfson claims imminent tax rise and potential for up to 8% increase in price of clothes will keep consumer growth sluggish
2010-09-15,Next boss parades his 'new normal' fashion formula. Lord Wolfson is assuming Next customers will pay the price of his vision
2010-09-18,SuperGroup sales propel founder into the super-rich league. SuperGroup and its fashion label Superdry record a 60% jump in sales over the summer – so much for gloomy market predictions
2010-09-18,Fashion chains far from cheerful about future of cheap chic. Primark is not alone among high street chains in warning that clothing prices will have to go up in real terms
2010-10-03,"Biodiversity 100: actions for Australia. Recommendations for Australia focus on invasive plants and fish that damage native populationsHere are the links for the Europe, Asia and Americas actions"
2010-10-07,Marks & Spencer enjoys 'return to quality'. • M&amp;S says customers 'better prepared' for austerity• New chief exec pins hopes on older shoppers• Like-for-like sales up 5.3% • Clothes market share grows to 10.3%
2010-10-25,Six casualties of the world food crisis. Extreme weather and market forces have affected the price of everything from Israel's tomatoes to South Korean cabbage
2010-11-03,Fast-rising food prices feed inflation fears. British Retail Consortium/Nielsen price survey finds shoppers paying more for bread and meat after sharp increases in wheat and corn prices
2010-11-04,Morrisons and Unilever warn of price rises in the new year. Supermarket and food manufacturer joins chorus of firms spreading bad news about prices next year
2010-11-04,"Next forecasts 10% rise in clothes prices. Retailer says soaring cost of cotton will drive prices up next year, after revealing 3% drop in sales over last three months"
2010-11-04,Cotton costs could send clothes prices soaring. Retailer Next forecasts that rise in price of cotton could put up the price of its offerings by more than 10% next year
2010-11-11,Tariffs and currency questions dominate China's economic agenda. Chinese manufacturers will be watching developments at G20 summit anxiously as calls for appreciation of the yuan grow
